Quadrat	Tide Height	GPS Latitude	GPS Longitude	Site	Sub-site
Q1	1.753	48¡ 23.451' N	124¡ 43.972' W	Simon's (Levin's) Landing	South
Q2	1.7	48¡ 23.451' N	124¡ 43.971' W	Simon's (Levin's) Landing	South
Q3	1.8	48¡ 23.452' N	124¡ 43.974' W	Simon's (Levin's) Landing	South
Q4	1.713	48¡ 23.460' N	124¡ 43.969' W	Simon's (Levin's) Landing	Middle
Q5	1.655	48¡ 23.462' N	124¡ 43.969' W	Simon's (Levin's) Landing	Middle
Q6	1.69	48¡ 23.464' N	124¡ 43.966' W	Simon's (Levin's) Landing	Middle
Q8	1.338	48¡ 23.484' N	124¡ 43.963' W	Simon's (Levin's) Landing	North
Q9	1.504	48¡ 23.394' N	124¡ 43.969' W	Toad Point	Toad Point
Q10	1.425	48¡ 23.469' N	124¡ 44.297' W	Strawberry Island	Strawberry Point
Q11	1.654	48¡ 23.465' N	124¡ 44.307' W	Strawberry Island	Strawberry Point
Q12	1.852	48¡ 23.460' N	124¡ 44.338' W	Strawberry Island	South Strawberry
Q13	0.837	48¡ 23.663' N	124¡ 44.341' W	Fingernail	North
Q14	1.287	48¡ 23.635' N	124¡ 44.339' W	Fingernail	North
Q15	1.357	48¡ 23.639' N	124¡ 44.337' W	Fingernail	North
