CODE   	AGGREGATED GROUP	TAXON/ECOLOGICAL STATE	Notes	
ALARIA	OTHER	Alaria nana		
ACRO	OTHER	Acrosiphonia coalita		
ANALIPUS	OTHER	Analipus japonica		
ANTHOE	OTHER	Anthopleura elegantissima		
ANTHOX	OTHER	Anthopleura xanthogrammica		
B	B	Large (> 2 cm wide) Mytilus californianus		
BG	BG	Balanus glandula		
BNUB	OTHER	Balanus nubilis		
CAL	FILR	Callithamnion pikeanum	Lumped with Polysiphonia prior to Aug. 2002	
CHTH	OTHER	Chthamalus dalli		
COST	OTHER	Costaria costata		
CV	CV	"Articulated corallines, mostly Corallina vancouveriensis"		
DIAT	R	Benthic diatoms		
ENDO	FILR	Endocladia muricatum	Lumped with Polysiphonia prior to Aug. 1996	
ENTMOR	EPH	Enteromorpha spp.		
FUCUS	OTHER	Fucus distichus (gardneri)		
HAL	HAL	Hallosaccion glandiforme		
HALICHOND	OTHER	Halichondria spp.		
HALICLONA	OTHER	"Haliclona spp, mostly panicea"		
HEDO	OTHER	Saccharina sessilis (Hedophyllum sessile)		
IRR	FLR	Mazaella (Iridaea) spp.	Lumped with Mastocarpus prior to Aug 1995	
LEATHESIA	OTHER	Leathesia marina		
MASTO	FLR	"Mastocarpus spp., mostly papillatus"		
MICRO	FILR	Microcladia borealis		
MT	MT	Mytilus trossulus		
PETAL	OTHER	Petalonia fascia		
PETRO	FLC	"""Petrocelis"" morph of Mastocarpus"		
POLY	FILR	Filamentous red algae (mostly Polysiphonia--see notes)		
PORPH	EPH	Porphyra spp.		
POST	OTHER	Postelsia palmaeformis		
PP	PP	Pollicipes polymerus		
PRIONITIS	OTHER	Prionitis sternbergii		
R	R	Bare rock		
RALF	FLC	"Fleshy crustose algae (Ralfsia, Hildenbrandia)"		
SC	SC	Semibalanus cariosus		
SCYTO	OTHER	Scytosiphon lomentaria		
SMC	SMC	small (<2 cm wide) Mytilus californianus		
UGLY	OTHER	Entodesma navicula		
ULVA	EPH	Ulva spp.		
X	X	Missing		
