Transect	Point Number	May-93	Sep-93	May-94	Sep-94	May-95	Aug-95	May-96	Aug-96	May-97	Sep-97	May-98	Sep-98	May-99	Sep-99	 July-00	Aug-00	Jun-15	May-02	Jul-03	May-04	May-05	May-06	Jun-07	May-08	May-09	May-10	May-11	May-12	
G	1	B	B	B	B	B	B	B	B	B	B	ULVA	HAL	HAL	HAL	SMC	X	PP	B	B	B	B	HAL	CV	CV	POST	HAL	POST	POST	
G	2	B	B	B	B	B	B	B	B	B	B	SC	HAL	BG	HAL	B	X	SMC	B	B	B	B	HAL	POST	POST	POST	MICRO	POST	HALICLONA	
G	3	SC	B	B	B	B	B	B	B	B	B	R	BG	SMC	SMC	B	X	B	B	B	B	B	HAL	B	POST	POST	HAL	POST	CV	
G	4	B	B	ANTHOE	B	B	B	B	B	B	B	CV	BG	MICRO	CV	PP	X	SMC	B	B	B	B	B	B	B	B	B	B	B	
G	5	B	B	B	B	B	B	B	B	B	B	BG	BG	BG	B	B	X	SMC	B	SC	B	B	B	B	B	B	B	B	B	
G	6	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
G	7	B	B	B	B	B	B	B	B	B	B	PORPH	HAL	HAL	HAL	POLY	X	B	B	B	B	B	B	B	B	B	B	B	B	
G	8	B	B	B	B	B	B	B	B	ANTHOE	B	PORPH	BG	BG	MASTO	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
G	9	B	B	B	B	B	B	SC	B	B	B	R	BG	SC	SC	SC	X	SC	SC	HAL	SC	B	B	B	B	B	B	B	B	
G	10	B	B	R	SC	SC	SC	SC	HAL	SC	B	B	B	B	PP	PP	X	B	(POST. EXP.)	POST	POST	SMC	SMC	B	B	B	B	B	B	
G	11	B	B	R	BG	SC	ULVA	B	ULVA	B	B	B	B	B	B	B	X	B	R	POST	POST	CV	SMC	B	B	PP	B	B	HEDO	
G	12	B	B	R	DIAT	B	B	PP	B	B	B	B	B	B	B	B	X	B	HAL	POST	POST	CV	SMC	B	B	B	B	B	B	
G	13	CV	CV	SC	SC	B	SC	SMC	PP	B	B	B	B	PP	B	B	X	B	HAL	POST	PP	B	PP	B	B	B	CV	B	B	
