Transect	Attachment 	GPS Latitude	GPS Longitude	Site	Sub-site
G	start	48¡ 23.498' N	124¡ 43.445' W	Strawberry Island	Glacier
G	middle	48¡ 23.495' N	124¡ 43.456' W	Strawberry Island	Glacier
G	end	48¡ 23.448' N	124¡ 43.456' W	Strawberry Island	Glacier
SS	start	48¡ 23.462' N	124¡ 44.341' W	Strawberry Island	South Strawberry
SS	middle	48¡ 23.475' N	124¡ 44.335' W	Strawberry Island	South Strawberry
SS	end	48¡ 23.465' N	124¡ 44.341' W	Strawberry Island	South Strawberry
SP	start	48¡ 23.462' N	124¡ 44.316' W	Strawberry Island	Strawberry Point
SP	middle1	48¡ 23.465' N	124¡ 44.307' W	Strawberry Island	Strawberry Point
SP	middle2	48¡ 23.465' N	124¡ 44.304' W	Strawberry Island	Strawberry Point
SP	end	48¡ 23.466' N	124¡ 44.297' W	Strawberry Island	Strawberry Point
ES	start	48¡ 23.477' N	124¡ 44.299' W	Strawberry Island	East Strawberry
ES	middle	48¡ 23.480' N	124¡ 44.301' W	Strawberry Island	East Strawberry
ES	end	48¡ 23.485' N	124¡ 44.306' W	Strawberry Island	East Strawberry
LF	start	48¡ 23.552' N	124¡ 44.378' W	Ladd's Fingers	North
LF	middle1	48¡ 23.557' N	124¡ 44.387' W	Ladd's Fingers	North
LF	middle2	48¡ 23.557' N	124¡ 44.385' W	Ladd's Fingers	North
LF	end	48¡ 23.559' N	124¡ 44.387' W	Ladd's Fingers	North
F	start	48¡ 23.632' N	124¡ 44.307' W	Finger	Finger
F	end	48¡ 23.635' N	124¡ 44.322' W	Finger	Finger
NFN	start	48¡ 23.635' N	124¡ 44.339' W	Fingernail	North
NFN	middle	48¡ 23.631' N	124¡ 44.344' W	Fingernail	North
NFN	end	48¡ 23.630' N	124¡ 44.344' W	Fingernail	North
SFN	start	48¡ 23.621' N	124¡ 44.366' W	Fingernail	South
SFN	middle	48¡ 23.624' N	124¡ 44.357' W	Fingernail	South
SFN	end	48¡ 23.626' N	124¡ 44.354' W	Fingernail	South
NLL	start	48¡ 23.492' N	124¡ 43.964' W	Simon's (Levin's) Landing	North
NLL	end	48¡ 23.482' N	124¡ 43.964' W	Simon's (Levin's) Landing	North
MLL	start	48¡ 23.460' N	124¡ 43.969' W	Simon's (Levin's) Landing	Middle
MLL	end	48¡ 23.469' N	124¡ 43.967' W	Simon's (Levin's) Landing	Middle
SLL	start	48¡ 23.449' N	124¡ 43.970' W	Simon's (Levin's) Landing	South
SLL	middle	48¡ 23.450' N	124¡ 43.970' W	Simon's (Levin's) Landing	South
SLL	end	48¡ 23.454' N	124¡ 43.972' W	Simon's (Levin's) Landing	South
